1, 253, 505
2, 506, 254
3, 256, 507
4, 508, 257
5, 259, 509
6, 510, 260
7, 262, 511
8, 512, 263
9, 265, 513
10, 514, 266
11, 268, 515
12, 516, 269
13, 517, 253
14, 518, 256
15, 6, 519
16, 520, 259
17, 5, 521
18, 522, 262
19, 4, 523
20, 524, 265
21, 2, 525
22, 526, 268
23, 3, 527
24, 528, 621
25, 1, 529
26, 254, 530
27, 531, 6
28, 257, 532
29, 533, 5
30, 260, 534
31, 535, 4
32, 263, 536
33, 537, 2
34, 266, 538
35, 539, 3
36, 269, 540
37, 541, 1
38, 253, 254
39, 256, 257
40, 259, 260
41, 262, 263
42, 265, 266
43, 268, 269
44, 542, 253
45, 253, 255
46, 254, 15
47, 255, 254
48, 13, 256
49, 256, 258
50, 257, 12
51, 258, 257
52, 14, 259
53, 259, 261
54, 260, 16
55, 261, 260
56, 18, 262
57, 262, 264
58, 263, 11
59, 264, 263
60, 10, 265
61, 265, 267
62, 266, 9
63, 267, 266
64, 17, 268
65, 268, 270
66, 269, 8
67, 270, 269
68, 7, 621
69, 543, 255
70, 255, 15
71, 271, 255
72, 6, 13
73, 15, 6
74, 27, 15
75, 13, 258
76, 19, 13
77, 258, 12
78, 272, 258
79, 5, 14
80, 12, 5
81, 26, 12
82, 14, 261
83, 21, 14
84, 261, 16
85, 273, 261
86, 4, 18
87, 16, 4
88, 25, 16
89, 18, 264
90, 20, 18
91, 264, 11
92, 274, 264
93, 2, 10
94, 11, 2
95, 28, 11
96, 10, 267
97, 22, 10
98, 267, 9
99, 275, 267
100, 3, 17
101, 9, 3
102, 30, 9
103, 17, 270
104, 23, 17
105, 270, 8
106, 276, 270
107, 1, 7
108, 8, 1
109, 29, 8
110, 7, 544
111, 24, 7
112, 545, 271
113, 19, 272
114, 21, 273
115, 20, 274
116, 22, 275
117, 23, 276
118, 24, 546
119, 271, 27
120, 272, 26
121, 273, 25
122, 274, 28
123, 275, 30
124, 276, 29
125, 277, 271
126, 271, 278
127, 279, 272
128, 272, 280
129, 281, 273
130, 273, 282
131, 283, 274
132, 274, 284
133, 285, 275
134, 275, 286
135, 287, 276
136, 276, 288
137, 27, 33
138, 278, 27
139, 26, 34
140, 280, 26
141, 25, 32
142, 282, 25
143, 28, 36
144, 284, 28
145, 30, 35
146, 286, 30
147, 29, 31
148, 288, 29
149, 547, 277
150, 33, 19
151, 19, 279
152, 34, 21
153, 21, 281
154, 32, 20
155, 20, 283
156, 36, 22
157, 22, 285
158, 35, 23
159, 23, 287
160, 31, 24
161, 24, 622
162, 289, 33
163, 33, 290
164, 292, 34
165, 34, 293
166, 295, 32
