Relative density,Number of polygonal cells,Mean of cell edge number,Variance of cell edge number,Skewness of cell edge number,Kurtosis of cell edge number,Mean of cell area,Variance of cell area,Skewness of cell area,Kurtosis of cell area,Mean of cell compactness,Variance of cell compactness,Skewness of cell compactness,Kurtosis of cell compactness,Mean of cell eccentricity,Variance of cell eccentricity,Skewness of cell eccentricity,Kurtosis of cell eccentricity,Mean of strut length,Variance of strut length,Skewness of strut length,Kurtosis of strut length,Mean of strut orientation,Variance of strut orientation,Skewness of strut orientation,Kurtosis of strut orientation,Mean of nodal connectivity,Variance of nodal connectivity,Skewness of nodal connectivity,Kurtosis of nodal connectivity,Mean of neighboring seed distance,Variance of neighboring seed distance,Skewness of neighboring seed distance,Kurtosis of neighboring seed distance,Mean of neighboring seed angle sine,Variance of neighboring seed angle sine,Skewness of neighboring seed angle sine,Kurtosis of neighboring seed angle sine,Mean of neighboring seed angle cosine,Variance of neighboring seed angle cosine,Skewness of neighboring seed angle cosine,Kurtosis of neighboring seed angle cosine,Relative stiffness
0.01,984,3,0,0,54.556,0.00064055,1.13E-14,0.26926,3.9748,0.6046,5.14E-16,-2.9311,13.454,0.86602,2.29E-08,-0.28197,5.6619,0.038462,2.25E-11,0.44603,5.3522,49.795,796.3,0.72345,1.5234,6,0,0,21.063,0.022204,2.36E-12,-1.006,3.7646,0.0017678,0.059183,-0.00952,2.0867,-0.0029697,0.0062962,-0.28816,5.5919,0.0033261
0.05,984,3,0,0,54.556,0.00064055,1.13E-14,0.26926,3.9748,0.6046,5.14E-16,-2.9311,13.454,0.86602,2.29E-08,-0.28197,5.6619,0.038462,2.25E-11,0.44603,5.3522,49.795,796.3,0.72345,1.5234,6,0,0,21.063,0.022204,2.36E-12,-1.006,3.7646,0.0017678,0.059183,-0.00952,2.0867,-0.0029697,0.0062962,-0.28816,5.5919,0.016801
0.1,984,3,0,0,54.556,0.00064055,1.13E-14,0.26926,3.9748,0.6046,5.14E-16,-2.9311,13.454,0.86602,2.29E-08,-0.28197,5.6619,0.038462,2.25E-11,0.44603,5.3522,49.795,796.3,0.72345,1.5234,6,0,0,21.063,0.022204,2.36E-12,-1.006,3.7646,0.0017678,0.059183,-0.00952,2.0867,-0.0029697,0.0062962,-0.28816,5.5919,0.03406
0.15,984,3,0,0,54.556,0.00064055,1.13E-14,0.26926,3.9748,0.6046,5.14E-16,-2.9311,13.454,0.86602,2.29E-08,-0.28197,5.6619,0.038462,2.25E-11,0.44603,5.3522,49.795,796.3,0.72345,1.5234,6,0,0,21.063,0.022204,2.36E-12,-1.006,3.7646,0.0017678,0.059183,-0.00952,2.0867,-0.0029697,0.0062962,-0.28816,5.5919,0.051829
0.2,984,3,0,0,54.556,0.00064055,1.13E-14,0.26926,3.9748,0.6046,5.14E-16,-2.9311,13.454,0.86602,2.29E-08,-0.28197,5.6619,0.038462,2.25E-11,0.44603,5.3522,49.795,796.3,0.72345,1.5234,6,0,0,21.063,0.022204,2.36E-12,-1.006,3.7646,0.0017678,0.059183,-0.00952,2.0867,-0.0029697,0.0062962,-0.28816,5.5919,0.070166
0.01,1296,3,0,0,54.556,0.00049766,9.18E-11,-0.24116,3.4372,0.60447,2.07E-08,-2.1103,8.8489,0.86572,0.00021162,0.10533,3.0849,0.033903,1.96E-07,-0.16789,3.1658,49.783,782.87,0.71139,1.5103,6,0,0,21.063,0.019467,1.06E-08,-0.34223,3.2667,-0.00081094,0.023724,-0.026324,2.9692,-0.0019559,0.024219,-0.012309,2.8955,0.0034369
0.05,1296,3,0,0,54.556,0.00049766,9.18E-11,-0.24116,3.4372,0.60447,2.07E-08,-2.1103,8.8489,0.86572,0.00021162,0.10533,3.0849,0.033903,1.96E-07,-0.16789,3.1658,49.783,782.87,0.71139,1.5103,6,0,0,21.063,0.019467,1.06E-08,-0.34223,3.2667,-0.00081094,0.023724,-0.026324,2.9692,-0.0019559,0.024219,-0.012309,2.8955,0.017362
0.1,1296,3,0,0,54.556,0.00049766,9.18E-11,-0.24116,3.4372,0.60447,2.07E-08,-2.1103,8.8489,0.86572,0.00021162,0.10533,3.0849,0.033903,1.96E-07,-0.16789,3.1658,49.783,782.87,0.71139,1.5103,6,0,0,21.063,0.019467,1.06E-08,-0.34223,3.2667,-0.00081094,0.023724,-0.026324,2.9692,-0.0019559,0.024219,-0.012309,2.8955,0.035201
0.15,1296,3,0,0,54.556,0.00049766,9.18E-11,-0.24116,3.4372,0.60447,2.07E-08,-2.1103,8.8489,0.86572,0.00021162,0.10533,3.0849,0.033903,1.96E-07,-0.16789,3.1658,49.783,782.87,0.71139,1.5103,6,0,0,21.063,0.019467,1.06E-08,-0.34223,3.2667,-0.00081094,0.023724,-0.026324,2.9692,-0.0019559,0.024219,-0.012309,2.8955,0.053571
0.2,1296,3,0,0,54.556,0.00049766,9.18E-11,-0.24116,3.4372,0.60447,2.07E-08,-2.1103,8.8489,0.86572,0.00021162,0.10533,3.0849,0.033903,1.96E-07,-0.16789,3.1658,49.783,782.87,0.71139,1.5103,6,0,0,21.063,0.019467,1.06E-08,-0.34223,3.2667,-0.00081094,0.023724,-0.026324,2.9692,-0.0019559,0.024219,-0.012309,2.8955,0.07253
0.01,817,3.0441,0.064232,6.2522,43.645,0.0007915,1.21E-09,-0.49076,14.076,0.60571,7.27E-05,6.6273,50.496,0.86726,0.00059013,0.13777,3.2314,0.042077,2.15E-05,-7.4082,59.052,49.303,772.77,0.72529,1.5494,5.8254,0.39868,-3.8501,16.85,0.024292,5.40E-07,-4.717,30.34,0.0014872,0.023668,0.018172,2.9697,-0.00057134,0.022558,-0.069239,2.9136,0.003412
0.05,817,3.0441,0.064232,6.2522,43.645,0.0007915,1.21E-09,-0.49076,14.076,0.60571,7.27E-05,6.6273,50.496,0.86726,0.00059013,0.13777,3.2314,0.042077,2.15E-05,-7.4082,59.052,49.303,772.77,0.72529,1.5494,5.8254,0.39868,-3.8501,16.85,0.024292,5.40E-07,-4.717,30.34,0.0014872,0.023668,0.018172,2.9697,-0.00057134,0.022558,-0.069239,2.9136,0.017267
